,id,checkInDate,checkOutDate,hour,dob,email,etc,person_id,name,phone_number,price,rest_or_overnight
0,R000,2021/06/01 14:14,2021/06/01 14:14,1.0,12/26/1999,temp@gmail.com,你好,A123456789,張張張,0987-123-123,500,過夜/休息
1,202,2021/06/03 00:49,2021/06/06 15:49,,,,,,,,400,休息
2,303,2021/06/03 00:49,2021/06/03 02:49,2.0,,,,,,,400,休息
3,505,2021/06/03 00:53,2021/06/03 02:53,2.0,,,,,,,400,休息
4,603,2021/06/03 00:53,2021/06/03 02:53,,12/20/2103,aeojoJ@j.com,測試,123124124,張張松,0912341232,400,休息
5,111,2021/06/03 17:10,2021/06/03 19:10,2.0,,,,,,,400,休息
6,202,2021/06/06 16:00,2021/06/06 18:00,2.0,,,,,arthur wut,,400,休息
7,201,2021/06/07 00:16,2021/06/07 02:16,2.0,,,,,,,400,休息
8,201,2021/06/07 00:20,2021/06/07 04:20,,,,,,,,400,休息
9,201,2021/06/07 00:45,2021/06/07 04:45,4,,,,,,,600,休息
